,latitude,longitude,lrimoshipno
26,43.27560043,-79.84968567,5105831
27,43.36214828,-79.49573517,5105831
28,44.69350052,-75.52899933,5105831
29,43.31439972,-82.42700195,5128467
30,46.19589996,-84.11029816,5128467
33,44.67033386,-87.88337708,5173670
34,43.53659821,16.46310043,5189136
1,34.74689865,119.4649963,8004650
2,29.05819511,48.22355652,8005288
3,25.15561867,56.44312286,8005288
5,39.78329849,119.6399994,8020288
8,31.9226265,120.19060520000001,8020939
12,38.93719864,118.08799740000002,8024076
14,38.88004684,118.69598390000002,8025549
15,39.00299835,119.1750031,8029416
17,32.07014084,119.92104340000002,8109187
19,1.264132977,103.88486479999999,8109199
21,38.46284866,118.26290130000001,8220216
22,38.34790039,117.86699679999998,8307777
23,22.72982407,113.6716614,8307894
24,38.93645096,121.7409821,8313049
29,39.92975235,119.6660385,8401303
32,35.10624313,129.03582759999998,8403143
33,34.76118851,127.81435390000001,8410782
35,37.47448349,126.61042020000001,8604905
37,21.16836548,110.40334320000001,8628597
39,35.32249832,119.67612460000001,8712647
43,31.14360046,122.47499850000001,8740979
47,-20.39442253,-40.21234131,8800274
48,31.36739922,121.7089996,8801785
50,39.98410034,119.8290024,8802923
51,22.10471535,114.1656876,8802935
55,20.99559975,110.8560028,8806412
57,37.31809998,122.77400209999999,8807583
58,31.19339943,29.73080063,8813934
59,33.7746315,131.0005646,8814990
61,36.85164642,122.4702759,8816364
62,37.08193588,126.2044144,8817019
66,1.291489959,103.5950012,8892447
67,30.18989944,122.0619965,8900476
68,25.33995628,56.50395584,8901107
69,25.31357956,51.82984924,8901133
70,29.61680031,48.76539993,8901133
73,10.40651703,-61.49496841,8902931
78,37.80142593,121.74864199999999,8903284
79,9.516280174,-13.71879959,8905490
80,14.63437653,120.94426729999999,8905490
83,34.75016022,126.3507004,8908612
84,35.44133377,129.3639984,8908612
87,38.33191681,118.4208145,8912314
88,40.80490112,121.04199979999999,8912314
89,31.36610031,122.46099850000002,8912314
90,31.99839973,120.5569992,8912314
97,10.66699982,106.762001,8912522
98,29.87493324,32.47966385,8912522
100,37.71477509,122.3536453,8912596
102,20.72965431,107.26726529999999,8912625
105,4.054470062,9.691379547,8913540
106,13.08255768,100.7356033,8914037
107,10.27339458,107.04214479999999,8914051
109,27.05506706,56.25283432,8914697
111,33.08551788,131.8572388,8914984
112,34.68107986,137.0376434,8914984
113,20.86666679,106.6835632,8915299
114,-23.22240067,-43.96289825,8915392
117,34.22280121,128.2910004,8915732
118,36.95479965,126.8320007,8915732
119,36.92048264,125.96836850000001,8915732
120,37.23931885,126.4280014,8915732
121,25.26359558,55.28338242,8915964
123,-0.310555011,117.6819992,8915976
124,1.970478296,118.1473312,8915976
125,25.10448265,119.06565090000001,8915976
126,21.532236100000002,111.6750946,8915976
127,35.36349869,139.8430023,8915988
128,35.58815002,139.8729401,8915988
129,34.71160126,137.2089996,8915988
130,41.10350037,141.08500669999998,8915988
131,38.67129898,141.72000119999998,8915988
132,38.19208145,141.2824554,8915988
133,23.46859741,117.32839969999999,8916152
134,-3.995807886,115.60988619999999,8916152
135,4.0987000469999995,119.5410004,8916152
137,34.8259201,119.630127,8916231
138,33.93227386,130.8266296,8916231
139,34.7716217,134.66125490000002,8916231
141,37.67200089,122.4830017,8917998
142,38.39191818,118.1557999,8917998
143,38.01701736,120.75485230000001,8917998
144,37.71889877,120.1200027,8919142
145,36.04660034,120.3840027,8919556
147,34.40113831,133.18847659999997,8919960
149,31.26018715,121.92133329999999,8920103
150,38.014171600000005,120.3665848,8920517
151,30.30520058,122.46800230000001,8920517
155,37.37526703,119.26622009999998,8921303
159,37.44586563,119.42870330000001,8921303
160,28.96848106,122.0582352,8921303
161,30.63100052,121.1600037,8921420
163,31.33659935,122.9100037,8921420
164,38.53573227,-9.478161812,8921963
165,38.36431885,-9.113064766,8921963
166,40.9329071,-8.740559578,8921963
167,38.66267014,-9.678266525,8921963
168,39.11405182,-9.728837013,8921963
169,40.01869965,-9.086899757000001,8921963
170,32.63685608,-16.91819954,8921963
171,32.58319855,-16.74480057,8921963
172,39.73089981,-9.340100288,8921963
175,37.64569855,-10.08150005,8921963
177,33.48553848,-15.58720779,8921963
178,37.30239868,-10.53530025,8921963
179,-34.05446625,-58.56358337,8923296
181,41.16548157,16.84626961,8942955
182,37.49451447,15.09942341,8942955
183,18.85930061,72.875,8943648
184,19.28779984,72.4673996,8943648
185,22.81279945,68.60839844,8943648
186,21.04920006,69.97679901,8943648
187,20.18330002,71.38169861,8943648
188,20.62220001,70.63269806,8943648
189,20.83069992,70.27970123,8943648
190,22.06290054,68.94163513,8943648
191,20.43037415,71.04997253,8943648
192,19.98632622,71.77022552,8943648
6,30.05446243,-90.57692719,9300128
7,29.78389931,122.08000179999999,9300128
21,35.00579834,136.8430023,9316672
35,35.99195099,120.27269740000001,9362243
44,-20.57843399,117.1996689,9375965
45,34.80329895,136.9640045,9376177
46,1.43271172,103.9096069,9377987
48,-23.85429955,151.3220062,9377987
49,33.75632477,-118.2698364,9377999
51,53.48548126,9.983166695,9381184
53,53.12622452,8.718078613,9381706
54,31.121782300000003,122.7327652,9384930
55,51.17250061,3.798399925,9384980
56,35.50019836,139.7319946,9385207
57,-25.61359978,-48.06890106,9387633
59,21.38929939,108.38600159999999,9387786
62,46.31000137,31.090999600000004,9392432
64,30.70615005,-88.04083252,9392731
65,26.38364983,119.7642899,9394753
68,52.37850189,4.925680161,9395240
70,24.49099922,118.0699997,9397688
73,-20.10768318,118.5757828,9397743
76,-2.359549999,-44.27441788,9397846
77,-19.98340034,35.25889969,9398668
79,-32.60599899,18.16550064,9398682
80,1.753767967,104.48062900000001,9398682
82,1.4910267590000001,104.8382797,9398694
32,30.03455925,121.98964690000001,9237101
36,6.437349796,3.383080006,9240809
37,10.47229958,-67.99469757,9240823
41,-28.96081734,32.11176682,9252424
49,5.2967000010000005,-4.015382767,9267431
53,29.61788368,-89.8940506,9278806
59,33.93976593,131.2323303,9279549
63,25.20832253,118.9601746,9284881
64,36.87990189,-76.33113098,9284893
65,-28.77210045,114.59700009999999,9284893
66,-1.496649981,-48.72800064,9284893
73,29.31329918,-94.5196991,9287209
74,6.295396805,2.500346899,9287962
75,1.2654299740000001,103.7799988,9287962
77,-6.099130154,106.89099879999999,9290983
79,54.52119827,18.65323257,9291119
82,51.26739883,4.247869968,9293674
84,-35.105300899999996,-55.69029999,9295127
85,36.01380157,129.404007,9296743
86,49.18849945,142.0059967,9296743
91,-38.62480164,-58.57580185,9296846
94,-3.432420015,-38.73540115,9297929
95,-6.754000187000001,39.33649826,9299276
97,22.82349968,70.14430237,9299288
98,20.91749954,71.50869751,9299288
99,10.37516689,-61.60216522,9299290
2,42.88380051,-79.24810028,6514900
8,43.64920044,-81.88430023,6613299
10,41.64235687,-87.14748383,6613299
11,42.67499924,-80.19039917,6613299
14,43.37943649,-79.3645401,6702301
15,48.38850021,-89.07700348,6702301
16,41.96060181,-81.94760132,6707961
17,46.57229996,-72.04820251,6714586
19,42.69300079,-79.53749847,6714586
20,58.86064911,5.748115062999999,6721151
21,-4.8207797999999995,119.45800020000001,6721474
22,46.33240128,-72.5447998,6800919
23,45.042617799999995,-74.58966827,6800919
24,47.94509888,-87.68499756,6800919
26,42.45579910000001,-80.12789917,6804848
27,17.91363335,-76.03068542,6811152
28,42.46701813,18.1173172,6813370
29,42.27868271,18.67169952,6813370
32,42.1420517,18.94333267,6813370
33,43.32731628,16.40530014,6813370
34,42.41567993,17.8998127,6813370
35,26.32147217,119.98602290000001,6815744
36,26.89539909,120.4570007,6815744
37,24.39450073,118.10199740000002,6815744
38,19.29535103,-81.38487244,6816906
39,18.72699928,-73.64559937,6816906
40,18.18317223,-69.7935791,6816906
41,24.05750084,-75.53669739,6816906
4,31.18029976,29.86599922,9000302
5,32.29383087,119.71299740000002,9000326
13,38.94779968,121.8730011,9000924
20,24.52787971,56.62254715,9030943
24,22.1640625,91.74693298,9035424
25,22.50079918,113.84500120000001,9035450
28,-1.7092169519999998,116.64134979999999,9040364
43,39.01571655,119.026619,9052862
53,46.46390152,30.86940002,9065572
56,11.6491251,43.15926361,9065912
59,5.5395965579999995,0.027905000000000003,9070711
60,36.99011612,126.72693629999999,9073311
67,-3.1984798910000003,116.40299990000001,9074016
68,27.10090637,56.06086731,9074066
70,29.89010048,122.0650024,9074119
79,40.95826721,28.91923332,9077305
88,43.14411926,27.95628357,9084255
90,40.8443985,29.27109909,9084267
91,21.93909073,113.9047699,9084580
92,21.81367683,113.2841187,9084580
93,20.96701622,107.3416519,9085663
94,41.29296875,29.02171707,9085675
97,32.81322479,35.03452301,9085900
98,21.06719971,88.20349884,9086071
105,42.80179977,132.8990021,9086966
108,22.71308136,115.5581055,9086978
109,19.08251953,108.4742737,9086978
113,24.98220062,55.06700134,9087192
114,-25.61230087,-48.1855011,9087221
119,22.03599739,114.4568863,9087855
120,34.33434296,132.9625244,9088160
122,41.14319992,37.46480179,9088275
123,41.14680099,39.54550171,9088275
0,-24.089727399999997,-46.21830368,9850018
1,-23.79004669,151.1800995,9850769
4,33.63749313,132.019455,9851505
5,33.62025833,132.1601563,9851517
9,34.01677322,131.6077118,9852236
10,34.03656769,131.8018646,9852236
12,34.4273262,134.0095062,9852248
13,35.46754074,139.986496,9852248
14,33.65708923,132.416626,9852652
23,34.09593201,133.024353,9855927
24,-5.537928104,105.3583679,9859624
12,45.69103622,-122.77187350000001,9650858
25,33.60720062,-7.6034097670000005,9656864
29,-33.3207016,115.66400149999998,9658977
38,-12.05296326,-77.14558411,9663635
41,-22.93690109,-43.834041600000006,9665932
43,35.60559845,140.0910034,9667526
44,-33.35810089,-60.15530014,9667588
45,34.45898056,133.4077454,9668453
69,1.2840299609999999,103.98000340000002,9691589
72,-23.81807518,151.4780731,9692686
75,24.83029938,66.97740173,9692698
82,24.45703888,117.9591675,9693771
85,10.96613503,-74.75854492,9694854
88,1.235138059,103.6654205,9695054
93,26.48900032,50.20059967,9696826
98,26.85140038,51.17359924,9696905
100,25.93033981,52.25356674,9696905
102,44.77370071,36.66389847,9697868
107,45.98397446,-122.8352966,9698795
108,-19.70435524,148.06225590000003,9698795
109,-35.02920151,-56.04869843,9698800
110,22.71890068,70.06199646,9698800
114,6.971207142000001,79.73000336,9698874
118,31.06940079,122.08300020000001,9698965
119,31.53650093,122.8889999,9698965
120,30.96619987,122.6689987,9698989
33,-1.5699969530000002,-48.78272629,9627758
35,-32.25370026,115.74299620000001,9628910
39,0.514872015,117.65595249999998,9632600
49,51.9669,4.107975,9639517
50,30.11458778,-90.98409271,9642045
54,-24.22949982,-46.18239975,9643910
58,-26.12280083,-48.41030121,9646209
65,49.3597374,0.990486979,9646663
66,1.373952031,104.6617508,9647875
74,21.96360588,114.0020523,9649689
21,9.352999687,-79.91249847,9754082
23,-33.588817600000006,-71.61724091,9754082
28,35.96018982,140.7635803,9756054
43,24.51154137,67.01289368,9762376
45,-35.83440018,174.4900055,9764960
48,54.22692871,-130.3379669,9766956
49,33.26379,131.6649,9767041
54,34.19777298,132.6156921,9772802
55,33.8045845,131.16101070000002,9774379
57,5.631793022,0.010555,9774848
59,34.62899779999999,135.4076843,9775165
60,34.95800018,136.6419983,9781803
69,-34.75293732,138.30570980000002,9785122
72,20.25694084,86.82695770000001,9785122
74,-33.90300751,-58.88508987,9785134
79,-33.13648224,151.7290955,9786059
80,29.206264500000003,-89.27676392,9788100
84,33.85710144,132.6360016,9790816
89,49.44038391,1.051947951,9791963
98,22.33127594,113.9023743,9792345
101,-6.745216846,112.71252439999999,9792876
102,31.20938873,121.8184814,9793820
103,24.30050087,121.75700379999999,9795244
105,24.4178009,121.9309998,9795244
106,24.0368557,121.8594818,9795244
108,13.73273468,121.0347672,9795244
110,35.09822845,119.7205429,9796999
111,32.24227905,131.9093781,9797709
16,-3.876369953,115.72399899999999,9100396
38,44.09140015,39.06079865,9111357
42,44.72251129,37.81834412,9116553
63,56.98189926,24.09311676,9149029
71,2.9552283289999997,101.3062286,9159402
79,32.30592728,119.8341064,9168489
84,31.97050095,120.0049973,9175315
85,49.08476639,140.306427,9175638
95,44.57619858,37.93389893,9179696
99,22.73380661,69.71403503,9182174
100,34.71451187,134.8407593,9183221
101,30.04855156,47.9393692,9185073
105,36.72079849,34.6072998,9185748
110,34.03633499,130.852005,9186924
119,-33.12779999,-60.49420166,9188609
124,38.47249985,-8.784420013,9188623
125,33.7016983,-7.518929957999999,9188908
127,-35.21360016,-55.45249939,9190377
132,20.86400032,107.10900120000001,9191034
135,20.92451477,106.76702879999999,9191046
136,35.81083298,-0.658500016,9191448
139,25.15579987,121.38800049999999,9192416
141,29.63625526,122.34822849999999,9193202
143,2.244733095,101.84608459999998,9194385
144,24.00367737,121.63865659999999,9194816
145,25.32172203,121.62953190000002,9194816
153,36.79195404,10.45306301,9196371
154,44.86100006,36.55970001,9196371
155,54.38869858,18.6704998,9196371
156,1.274683356,104.29253390000001,9196371
157,27.90369987,-82.41439819,9196395
158,40.70830154,-73.97290039,9196395
159,-33.27890015,151.6719971,9196802
160,-17.36969948,140.6719971,9196929
162,36.06698227,140.7766876,9197088
163,31.02700043,122.7695007,9197088
164,-8.730669975,13.30449963,9197088
165,25.50068283,55.24750137,9197129
167,21.06760025,110.6760025,9197222
168,20.27548218,110.53284450000001,9197222
170,22.08720016,114.3040009,9197882
171,40.745899200000004,29.90309906,9197882
174,-20.37792206,116.67881770000001,9198240
6,22.62330627,113.70092009999999,9800623
13,34.46801376,133.7659607,9801158
22,34.86287689,136.7199249,9801213
24,10.35641956,-14.76877689,9802085
35,30.85338783,122.79064939999999,9806897
36,-2.166652918,-44.12805176,9806897
37,38.91409683,118.5101547,9806926
41,28.93316078,-89.41030884,9808352
43,30.03207779,-90.69872284,9808663
50,33.36013412,129.6867523,9815886
51,36.93259048,140.8832855,9816579
52,42.56861877,141.71795649999999,9816579
59,29.9394722,-90.14189148,9817511
73,-13.03447342,-38.61970139,9820984
76,39.21210098,-76.47879028,9834844
77,-32.93742752,-60.63164902,9835068
78,33.87054825,134.64303590000003,9835460
80,-21.26636505,149.4654999,9835941
83,21.37403107,108.73767849999999,9836385
85,21.46137238,39.16591263,9836713
86,33.40161896,133.5017853,9836907
87,29.47765541,-89.68257141,9836919
95,20.16387939,86.89382172,9839806
97,34.25029755,127.7139435,9841811
98,34.12086487,126.2469788,9841811
99,34.53889084,127.95346070000001,9841811
102,21.34691238,-89.68167877,9845972
48,51.24779892,4.409009933,9533062
69,44.47282791,12.25311756,9542532
80,43.09859848,131.8820038,9543835
84,-24.05800056,-46.34790039,9544700
88,22.71619987,69.96430206,9544712
90,-33.01186371,17.99012947,9544736
92,-33.24583817,-60.29551697,9544750
93,22.87532234,113.52484129999999,9544750
95,10.36765003,107.03478999999999,9544774
97,10.76216984,106.71259309999999,9544774
108,-33.01256561,151.8068542,9546100
110,34.90826797,119.8134537,9546198
111,37.45199585,122.19408419999999,9546198
115,43.45892334,-8.332977295,9546813
121,-39.25574112,-61.43457031,9548213
124,-27.38879967,153.1589966,9548225
125,-19.91480064,35.0522995,9548237
127,35.1302681,128.69506840000003,9548328
128,1.53173995,104.9876709,9548457
130,34.48163605,128.0594025,9548574
132,40.35699844,121.77200320000001,9548574
134,6.035820007000001,1.285030007,9548653
135,45.78260039999999,13.55650043,9548653
137,26.12051773,119.84841920000001,9548744
138,71.64060211,72.72290039,9549281
34,-38.79162598,-62.27154922,9576997
66,-22.89287567,-43.1984787,9595254
70,26.46032715,119.6960983,9595759
86,29.15998268,-94.61734009,9597977
87,36.17553329,-5.419052123999999,9597989
92,40.46569061,17.22886467,9598335
95,43.42642212,4.875668049,9598660
96,29.72850037,122.4309998,9598701
97,35.27771759,119.83918,9598701
102,-19.716880800000002,147.9481659,9599080
103,29.8670311,49.19863892,9599121
104,17.70560074,83.39199829,9599389
105,-4.487760067,122.37799840000002,9599389
107,-2.79234004,122.189003,9599389
112,-1.541970015,127.3929977,9599406
116,44.99679947,36.53820038,9599717
118,29.51280022,34.99470139,9599755
121,19.34259987,105.8160019,9599793
122,19.70179939,106.3050003,9599793
