imo,dwt
9144055,46570
9144354,47016
9144392,51364
9144407,51880
9145035,49692
9145059,73322
9145530,72928
9145683,49889
9145695,49865
9145889,46645
9145956,47639
9145968,47240
9145970,47240
9145982,45423
9146003,48225
9146015,70281
9146558,45426
9146601,42717
9146613,42717
9146950,72416
9146962,45719
9146986,69548
9147423,73937
9149017,74744
9149029,74761
9149366,74761
9149378,48227
9149380,47180
9149392,47180
9149794,322398
9149809,322457
9150298,42584
9150808,46634
9151230,45919
9151333,77283
9151814,51364
9151826,51364
9153056,71663
9153094,74083
9153109,77679
9153111,46658
9153795,74002
9154012,46670
9154098,72424
9154505,42584
9154555,47183
9154567,47183
9154608,45725
9154610,47375
9155303,51459
9156278,73018
9156838,73763
9157337,51152
9157507,70257
9157686,179302
9158159,41327
9159036,72037
9159177,91384
9159189,69163
9159191,69124
9159402,45428
9159414,47271
9159426,48225
9159438,45363
9159555,73751
9160798,47029
9160803,47032
9161041,69091
9161053,46663
9161467,69118
9161481,45874
9161596,42585
9161675,73867
9161687,73762
9161742,72824
9162019,71372
9162590,73596
9162942,47243
9162954,47240
9162966,47240
9162992,47280
9163001,47245
9163300,74577
9163465,45766
9163477,45600
9163489,45572
9163491,45621
9163506,45588
9164445,77663
9164586,149322
9164615,73732
9164627,73144
9164639,73056
9164641,73220
9164653,73207
9164691,77697
9164706,74001
9165190,71671
9165322,164264
9165504,151249
9165516,171850
9166663,42717
9166871,46747
9166883,46750
9166900,71298
9167368,69034
9167497,43980
9168269,42717
9168465,72474
9168489,73798
9168491,45713
9168506,45690
9169110,73427
9169330,46685
9169342,46693
9169380,72891
9169603,171101
9170262,72497
9170298,70529
9170444,149297
9171149,75542
9171151,75522
9171266,73127
9171278,73548
9171618,172964
9172416,77755
9172428,77755
9172430,172940
9172545,72272
9172557,69064
9172571,72413
9174268,75462
9174270,75484
9174634,73018
9174646,169159
9174725,171746
9175315,75265
9175327,75265
9175638,46610
9176113,172566
9176278,48220
9176668,45724
9176711,72495
9176747,73035
9176759,73035
9177648,73035
9177650,73035
9178226,73729
9178408,75752
9179218,46667
9179593,171997
9179696,72867
9179775,80531
9180774,73829
9180786,73688
9180798,73739
9180803,73705
9180906,75100
9180918,75122
9181027,46667
9181039,50327
9181041,50326
9181118,172247
9181120,46620
9182162,45769
9182186,73965
9182461,46223
9182473,46223
9182485,46233
9182497,46233
9182710,169159
9182954,46428
9182966,46428
9182978,46428
9183221,75668
9183336,170974
9183776,50259
9184304,80230
9184316,80226
9184835,74047
9184847,74063
9184897,52820
9184902,49970
9184914,72495
9184938,72083
9185059,48512
9185073,75592
9185736,73744
9185748,72465
9185750,72443
9185762,77561
9185786,74502
9185798,72400
9186209,45038
9186211,44982
9186223,44982
9186235,44691
9186687,47257
9186766,48203
9186778,48221
